Image Name,Number of key points,difference between orginal keypoints and experiment
orginal,1464,334.0
experiment image: 0,1561,431.0
experiment image: 1,1672,542.0
experiment image: 2,1535,405.0
experiment image: 3,1476,346.0
experiment image: 4,1378,248.0
experiment image: 5,1446,316.0
experiment image: 6,1548,418.0
experiment image: 7,1679,549.0
experiment image: 8,1565,435.0
experiment image: 9,1461,331.0
experiment image: 10,1382,252.0
experiment image: 11,1459,329.0
experiment image: 12,1569,439.0
experiment image: 13,1667,537.0
experiment image: 14,1566,436.0
experiment image: 15,1463,333.0
experiment image: 16,1411,281.0
experiment image: 17,1461,331.0
experiment image: 18,1555,425.0
experiment image: 19,1661,531.0
experiment image: 20,1545,415.0
experiment image: 21,1476,346.0
